ID,NOME,Tamanho,QTD,ESTOQUE,PREÇO DE COMPRA,% NA VENDA,VALOR FINAL,VALOR TOTAL CUSTOS,VALOR TOTAL,CREATED_AT
1,I&E\ VESTIDOS C/ E S/ MANGA ,,5,4,"R$ 14,00",60,"R$ 35,00","R$ 70,00","R$ 175,00",13/08/2022 15:00:00
2,I&E BORE ,,3,3,"R$ 10,00",65,"R$ 28,57","R$ 30,00","R$ 85,71",13/08/2022 15:00:00
3,FERNANDA MODA (SHORT SAIA) ,,3,0,"R$ 8,50",65,"R$ 24,29","R$ 25,50","R$ 72,86",13/08/2022 15:00:00
4,FERNANDA MODA (SHORT) ,,5,1,"R$ 9,00",65,"R$ 25,71","R$ 45,00","R$ 128,57",13/08/2022 15:00:00
5,S/N SHORT SAIA ,,2,-1,"R$ 8,00",70,"R$ 26,67","R$ 16,00","R$ 53,33",13/08/2022 15:00:00
6,S/N LEGGING ,,6,0,"R$ 13,00",60,"R$ 32,50","R$ 78,00","R$ 195,00",13/08/2022 15:00:00
7,S/N TOP ,,1,0,"R$ 8,00",70,"R$ 26,67","R$ 8,00","R$ 26,67",13/08/2022 15:00:00
8,MAYARA LEGGING TODA BRANCA ,,3,0,"R$ 12,00",60,"R$ 30,00","R$ 36,00","R$ 90,00",13/08/2022 15:00:00
9,MAYARA LEGGING BRANCA COM AZUL ,,2,0,"R$ 15,00",60,"R$ 37,50","R$ 30,00","R$ 75,00",13/08/2022 15:00:00
10,MAYARA BLUSA ,,2,1,"R$ 8,00",70,"R$ 26,67","R$ 16,00","R$ 53,33",13/08/2022 15:00:00
11,MAYARA CONJ. DE BOLINHA ,,2,2,"R$ 17,00",60,"R$ 42,50","R$ 34,00","R$ 85,00",13/08/2022 15:00:00
12,XODO BLUSA VESTIDINHO ,,2,0,"R$ 20,00",60,"R$ 50,00","R$ 40,00","R$ 100,00",13/08/2022 15:00:00
14,JOHN BLUSA REGATA feninina,,7,3,"R$ 9,00",65,"R$ 25,71","R$ 63,00","R$ 180,00",13/08/2022 15:00:00
15,CHILLI CONJ COM TELA ,,2,0,"R$ 57,00",50,"R$ 114,00","R$ 114,00","R$ 228,00",13/08/2022 15:00:00
17,MORENA CAMISA MASCULINA ,,4,3,"R$ 20,00",50,"R$ 40,00","R$ 80,00","R$ 160,00",13/08/2022 15:00:00
19,LUX GIRL  VESTIFINHO ,,2,0,"R$ 16,90",60,"R$ 42,25","R$ 33,80","R$ 84,50",13/08/2022 15:00:00
20,CAMISA MASCULINA ,,8,4,"R$ 9,00",65,"R$ 25,71","R$ 72,00","R$ 205,71",13/08/2022 15:00:00
